Fragility_no,Infrastructure_class,Infrastructure_subclass,Metadata_description,Metadata_region,Metadata_author,Hazard_type,IM,IM_unit,Fragility_development_method,Fragility_distribution,No_of_damage_state,Damage_state_1,Damage_state_med_1,Damage_state_std_1,Damage_state_2,Damage_state_med_2,Damage_state_std_2,Damage_state_3,Damage_state_med_3,Damage_state_std_3,Damage_state_4,Damage_state_med_4,Damage_state_std_4,Fragility_description,Fragility_polynomial,Damage_state_5,Damage_state_med_5,Damage_state_std_5,,Ranking_score_IM,Ranking_score_NDS,Ranking_score_Region,Ranking_score_Normalized,Infrastructure_image,Metadata_file_name,Dispersion_type
11,electric power system,distribution circuit,Standard Circuit Fails,USA,"Steelman, J., Song, J., and Hajjar, J. F. (2007). Integrated Data Flow and Risk Aggregation for Consequence-Based Risk Management of Seismic Regional Loss. Mid-America Earthquake Center, University of Illinois at Urbana-Champaign.",earthquake,PGA,g,Heuristic,Lognormal,1,Loss of Function,0.6,0.5,,,,,,,,,,None,,,,,,0.75,0.25,0.5,0.5,./assets/CLiP_TBA.PNG,,Logarithmic_standard_deviation
12,electric power system,distribution circuit,Seismic Circuit Fails,USA,"Steelman, J., Song, J., and Hajjar, J. F. (2007). Integrated Data Flow and Risk Aggregation for Consequence-Based Risk Management of Seismic Regional Loss. Mid-America Earthquake Center, University of Illinois at Urbana-Champaign.",earthquake,PGA,g,Heuristic,Lognormal,1,Loss of Function,0.75,0.5,,,,,,,,,,None,,,,,,0.75,0.25,0.5,0.5,./assets/CLiP_TBA.PNG,,Logarithmic_standard_deviation
13,electric power system,power generation plant,Large vertical vessels with formed heads; Electric Power Plant Equipment - Mechanical Equipment - Well Anchored,USA,"Steelman, J., Song, J., and Hajjar, J. F. (2007). Integrated Data Flow and Risk Aggregation for Consequence-Based Risk Management of Seismic Regional Loss. Mid-America Earthquake Center, University of Illinois at Urbana-Champaign.",earthquake,Sa,g,Heuristic,Lognormal,1,Loss of Function,1.46,0.4,,,,,,,,,,None,,,,,,1,0.25,0.5,0.583333333,./assets/CLiP_TBA.PNG,,Logarithmic_standard_deviation
14,electric power system,power generation plant,Boilers and Pressure Vessels; Electric Power Plant Equipment - Mechanical Equipment - Well Anchored,USA,"Steelman, J., Song, J., and Hajjar, J. F. (2007). Integrated Data Flow and Risk Aggregation for Consequence-Based Risk Management of Seismic Regional Loss. Mid-America Earthquake Center, University of Illinois at Urbana-Champaign.",earthquake,Sa,g,Heuristic,Lognormal,1,Loss of Function,1.3,0.7,,,,,,,,,,None,,,,,,1,0.25,0.5,0.583333333,./assets/CLiP_TBA.PNG,,Logarithmic_standard_deviation
15,electric power system,power generation plant,Large horizontal vessels; Electric Power Plant Equipment - Mechanical Equipment - Well Anchored,USA,"Steelman, J., Song, J., and Hajjar, J. F. (2007). Integrated Data Flow and Risk Aggregation for Consequence-Based Risk Management of Seismic Regional Loss. Mid-America Earthquake Center, University of Illinois at Urbana-Champaign.",earthquake,Sa,g,Heuristic,Lognormal,1,Loss of Function,3.91,0.61,,,,,,,,,,None,,,,,,1,0.25,0.5,0.583333333,./assets/CLiP_TBA.PNG,,Logarithmic_standard_deviation
16,electric power system,power generation plant,Small to medium horizontal vessels; Electric Power Plant Equipment - Mechanical Equipment - Well Anchored,USA,"Steelman, J., Song, J., and Hajjar, J. F. (2007). Integrated Data Flow and Risk Aggregation for Consequence-Based Risk Management of Seismic Regional Loss. Mid-America Earthquake Center, University of Illinois at Urbana-Champaign.",earthquake,Sa,g,Heuristic,Lognormal,1,Loss of Function,1.84,0.51,,,,,,,,,,None,,,,,,1,0.25,0.5,0.583333333,./assets/CLiP_TBA.PNG,,Logarithmic_standard_deviation
17,electric power system,power generation plant,Large vertical pumps; Electric Power Plant Equipment - Mechanical Equipment - Well Anchored,USA,"Steelman, J., Song, J., and Hajjar, J. F. (2007). Integrated Data Flow and Risk Aggregation for Consequence-Based Risk Management of Seismic Regional Loss. Mid-America Earthquake Center, University of Illinois at Urbana-Champaign.",earthquake,Sa,g,Heuristic,Lognormal,1,Loss of Function,2.21,0.39,,,,,,,,,,None,,,,,,1,0.25,0.5,0.583333333,./assets/CLiP_TBA.PNG,,Logarithmic_standard_deviation
18,electric power system,power generation plant,Motor Driven pumps; Electric Power Plant Equipment - Mechanical Equipment - Well Anchored,USA,"Steelman, J., Song, J., and Hajjar, J. F. (2007). Integrated Data Flow and Risk Aggregation for Consequence-Based Risk Management of Seismic Regional Loss. Mid-America Earthquake Center, University of Illinois at Urbana-Champaign.",earthquake,Sa,g,Heuristic,Lognormal,1,Loss of Function,3.19,0.34,,,,,,,,,,None,,,,,,1,0.25,0.5,0.583333333,./assets/CLiP_TBA.PNG,,Logarithmic_standard_deviation
19,electric power system,substation,Current transformer (gasketed); substation Moderately High Voltage Components (100 kV - 165 kV),USA,"Steelman, J., Song, J., and Hajjar, J. F. (2007). Integrated Data Flow and Risk Aggregation for Consequence-Based Risk Management of Seismic Regional Loss. Mid-America Earthquake Center, University of Illinois at Urbana-Champaign.",earthquake,PGA,g,Heuristic,Lognormal,1,Loss of Function,0.75,0.7,,,,,,,,,,None,,,,,,0.75,0.25,0.5,0.5,./assets/transformer.PNG,,Logarithmic_standard_deviation
20,electric power system,substation,Wave Trap - Cantilevered; substation Moderately High Voltage Components (100 kV - 165 kV),USA,"Steelman, J., Song, J., and Hajjar, J. F. (2007). Integrated Data Flow and Risk Aggregation for Consequence-Based Risk Management of Seismic Regional Loss. Mid-America Earthquake Center, University of Illinois at Urbana-Champaign.",earthquake,PGA,g,Heuristic,Lognormal,1,Loss of Function,1,0.7,,,,,,,,,,None,,,,,,0.75,0.25,0.5,0.5,./assets/CLiP_TBA.PNG,,Logarithmic_standard_deviation
21,electric power system,substation,Wave Trap - Suspended; substation Moderately High Voltage Components (100 kV - 165 kV),USA,"Steelman, J., Song, J., and Hajjar, J. F. (2007). Integrated Data Flow and Risk Aggregation for Consequence-Based Risk Management of Seismic Regional Loss. Mid-America Earthquake Center, University of Illinois at Urbana-Champaign.",earthquake,PGA,g,Heuristic,Lognormal,1,Loss of Function,1.6,0.6,,,,,,,,,,None,,,,,,0.75,0.25,0.5,0.5,./assets/CLiP_TBA.PNG,,Logarithmic_standard_deviation
22,electric power system,substation,Lightning Arrestor; substation Moderately High Voltage Components (100 kV - 165 kV),USA,"Steelman, J., Song, J., and Hajjar, J. F. (2007). Integrated Data Flow and Risk Aggregation for Consequence-Based Risk Management of Seismic Regional Loss. Mid-America Earthquake Center, University of Illinois at Urbana-Champaign.",earthquake,PGA,g,Heuristic,Lognormal,1,Loss of Function,1,0.7,,,,,,,,,,None,,,,,,0.75,0.25,0.5,0.5,./assets/CLiP_TBA.PNG,,Logarithmic_standard_deviation
23,electric power system,substation,CCVT; substation Moderately High Voltage Components (100 kV - 165 kV),USA,"Steelman, J., Song, J., and Hajjar, J. F. (2007). Integrated Data Flow and Risk Aggregation for Consequence-Based Risk Management of Seismic Regional Loss. Mid-America Earthquake Center, University of Illinois at Urbana-Champaign.",earthquake,PGA,g,Heuristic,Lognormal,1,Loss of Function,1,0.7,,,,,,,,,,None,,,,,,0.75,0.25,0.5,0.5,./assets/CLiP_TBA.PNG,,Logarithmic_standard_deviation
24,electric power system,substation,Disconnect Switch - Rigid Bus; substation Moderately High Voltage Components (100 kV - 165 kV),USA,"Steelman, J., Song, J., and Hajjar, J. F. (2007). Integrated Data Flow and Risk Aggregation for Consequence-Based Risk Management of Seismic Regional Loss. Mid-America Earthquake Center, University of Illinois at Urbana-Champaign.",earthquake,PGA,g,Heuristic,Lognormal,1,Loss of Function,0.9,0.7,,,,,,,,,,None,,,,,,0.75,0.25,0.5,0.5,./assets/Disconnect_switch.PNG,,Logarithmic_standard_deviation
25,electric power system,substation,Disconnect Switch - Flexible Bus; substation Moderately High Voltage Components (100 kV - 165 kV),USA,"Steelman, J., Song, J., and Hajjar, J. F. (2007). Integrated Data Flow and Risk Aggregation for Consequence-Based Risk Management of Seismic Regional Loss. Mid-America Earthquake Center, University of Illinois at Urbana-Champaign.",earthquake,PGA,g,Heuristic,Lognormal,1,Loss of Function,1.2,0.7,,,,,,,,,,None,,,,,,0.75,0.25,0.5,0.5,./assets/Disconnect_switch.PNG,,Logarithmic_standard_deviation
26,electric power system,substation,Lightning Arrestor; substation High Voltage Components (165 kV - 350 kV),USA,"Steelman, J., Song, J., and Hajjar, J. F. (2007). Integrated Data Flow and Risk Aggregation for Consequence-Based Risk Management of Seismic Regional Loss. Mid-America Earthquake Center, University of Illinois at Urbana-Champaign.",earthquake,PGA,g,Heuristic,Lognormal,1,Loss of Function,0.6,0.7,,,,,,,,,,None,,,,,,0.75,0.25,0.5,0.5,./assets/CLiP_TBA.PNG,,Logarithmic_standard_deviation
27,electric power system,substation,Live Tank Circuit Breaker - Seismic; substation Moderately High Voltage Components (100 kV - 165 kV),USA,"Steelman, J., Song, J., and Hajjar, J. F. (2007). Integrated Data Flow and Risk Aggregation for Consequence-Based Risk Management of Seismic Regional Loss. Mid-America Earthquake Center, University of Illinois at Urbana-Champaign.",earthquake,PGA,g,Heuristic,Lognormal,1,Loss of Function,1,0.7,,,,,,,,,,None,,,,,,0.75,0.25,0.5,0.5,./assets/Circuit_breaker.PNG,,Logarithmic_standard_deviation
28,electric power system,substation,Disconnect Switch - Flexible Bus; substation High Voltage Components (165 kV - 350 kV),USA,"Steelman, J., Song, J., and Hajjar, J. F. (2007). Integrated Data Flow and Risk Aggregation for Consequence-Based Risk Management of Seismic Regional Loss. Mid-America Earthquake Center, University of Illinois at Urbana-Champaign.",earthquake,PGA,g,Heuristic,Lognormal,1,Loss of Function,0.75,0.7,,,,,,,,,,None,,,,,,0.75,0.25,0.5,0.5,./assets/Disconnect_switch.PNG,,Logarithmic_standard_deviation
29,electric power system,substation,Dead Tank Circuit Breaker - Standard; substation Moderately High Voltage Components (100 kV - 165 kV),USA,"Steelman, J., Song, J., and Hajjar, J. F. (2007). Integrated Data Flow and Risk Aggregation for Consequence-Based Risk Management of Seismic Regional Loss. Mid-America Earthquake Center, University of Illinois at Urbana-Champaign.",earthquake,PGA,g,Heuristic,Lognormal,1,Loss of Function,2,0.7,,,,,,,,,,None,,,,,,0.75,0.25,0.5,0.5,./assets/Circuit_breaker.PNG,,Logarithmic_standard_deviation
30,electric power system,substation,transformer - Unanchored; substation Moderately High Voltage Components (100 kV - 165 kV),USA,"Steelman, J., Song, J., and Hajjar, J. F. (2007). Integrated Data Flow and Risk Aggregation for Consequence-Based Risk Management of Seismic Regional Loss. Mid-America Earthquake Center, University of Illinois at Urbana-Champaign.",earthquake,PGA,g,Heuristic,Lognormal,1,Loss of Function,0.5,0.7,,,,,,,,,,None,,,,,,0.75,0.25,0.5,0.5,./assets/transformer.PNG,,Logarithmic_standard_deviation
31,electric power system,substation,CCVT; substation High Voltage Components (165 kV - 350 kV),USA,"Steelman, J., Song, J., and Hajjar, J. F. (2007). Integrated Data Flow and Risk Aggregation for Consequence-Based Risk Management of Seismic Regional Loss. Mid-America Earthquake Center, University of Illinois at Urbana-Champaign.",earthquake,PGA,g,Heuristic,Lognormal,1,Loss of Function,0.6,0.7,,,,,,,,,,None,,,,,,0.75,0.25,0.5,0.5,./assets/CLiP_TBA.PNG,,Logarithmic_standard_deviation
32,electric power system,substation,Live Tank Circuit Breaker - Standard; substation Moderately High Voltage Components (100 kV - 165 kV),USA,"Steelman, J., Song, J., and Hajjar, J. F. (2007). Integrated Data Flow and Risk Aggregation for Consequence-Based Risk Management of Seismic Regional Loss. Mid-America Earthquake Center, University of Illinois at Urbana-Champaign.",earthquake,PGA,g,Heuristic,Lognormal,1,Loss of Function,0.6,0.7,,,,,,,,,,None,,,,,,0.75,0.25,0.5,0.5,./assets/Circuit_breaker.PNG,,Logarithmic_standard_deviation
33,electric power system,substation,transformer - Anchored; substation Moderately High Voltage Components (100 kV - 165 kV),USA,"Steelman, J., Song, J., and Hajjar, J. F. (2007). Integrated Data Flow and Risk Aggregation for Consequence-Based Risk Management of Seismic Regional Loss. Mid-America Earthquake Center, University of Illinois at Urbana-Champaign.",earthquake,PGA,g,Heuristic,Lognormal,1,Loss of Function,0.75,0.7,,,,,,,,,,None,,,,,,0.75,0.25,0.5,0.5,./assets/transformer.PNG,,Logarithmic_standard_deviation
34,electric power system,substation,transformer - Anchored; substation High Voltage Components (165 kV - 350 kV),USA,"Steelman, J., Song, J., and Hajjar, J. F. (2007). Integrated Data Flow and Risk Aggregation for Consequence-Based Risk Management of Seismic Regional Loss. Mid-America Earthquake Center, University of Illinois at Urbana-Champaign.",earthquake,PGA,g,Heuristic,Lognormal,1,Loss of Function,0.6,0.7,,,,,,,,,,None,,,,,,0.75,0.25,0.5,0.5,./assets/transformer.PNG,,Logarithmic_standard_deviation
35,electric power system,substation,transformer - Unanchored; substation High Voltage Components (165 kV - 350 kV),USA,"Steelman, J., Song, J., and Hajjar, J. F. (2007). Integrated Data Flow and Risk Aggregation for Consequence-Based Risk Management of Seismic Regional Loss. Mid-America Earthquake Center, University of Illinois at Urbana-Champaign.",earthquake,PGA,g,Heuristic,Lognormal,1,Loss of Function,0.3,0.7,,,,,,,,,,None,,,,,,0.75,0.25,0.5,0.5,./assets/transformer.PNG,,Logarithmic_standard_deviation
36,electric power system,power generation plant,Turbine Trip; Electric Power Plant Equipment - Electrical Components - Well Anchored,USA,"Steelman, J., Song, J., and Hajjar, J. F. (2007). Integrated Data Flow and Risk Aggregation for Consequence-Based Risk Management of Seismic Regional Loss. Mid-America Earthquake Center, University of Illinois at Urbana-Champaign.",earthquake,PGA,g,Heuristic,Lognormal,1,Loss of Function,0.3,0.4,,,,,,,,,,None,,,,,,0.75,0.25,0.5,0.5,./assets/Turbine.PNG,,Logarithmic_standard_deviation
37,electric power system,substation,Current transformer (flanged); substation Very High Voltage Components (500 kV and Higher),USA,"Steelman, J., Song, J., and Hajjar, J. F. (2007). Integrated Data Flow and Risk Aggregation for Consequence-Based Risk Management of Seismic Regional Loss. Mid-America Earthquake Center, University of Illinois at Urbana-Champaign.",earthquake,PGA,g,Heuristic,Lognormal,1,Loss of Function,0.8,0.7,,,,,,,,,,None,,,,,,0.75,0.25,0.5,0.5,./assets/transformer.PNG,,Logarithmic_standard_deviation
38,electric power system,substation,Dead Tank Circuit Breaker - Standard; substation High Voltage Components (165 kV - 350 kV),USA,"Steelman, J., Song, J., and Hajjar, J. F. (2007). Integrated Data Flow and Risk Aggregation for Consequence-Based Risk Management of Seismic Regional Loss. Mid-America Earthquake Center, University of Illinois at Urbana-Champaign.",earthquake,PGA,g,Heuristic,Lognormal,1,Loss of Function,1.6,0.7,,,,,,,,,,None,,,,,,0.75,0.25,0.5,0.5,./assets/Circuit_breaker.PNG,,Logarithmic_standard_deviation
39,electric power system,substation,Wave Trap - Cantilevered; substation Very High Voltage Components (500 kV and Higher),USA,"Steelman, J., Song, J., and Hajjar, J. F. (2007). Integrated Data Flow and Risk Aggregation for Consequence-Based Risk Management of Seismic Regional Loss. Mid-America Earthquake Center, University of Illinois at Urbana-Champaign.",earthquake,PGA,g,Heuristic,Lognormal,1,Loss of Function,0.5,0.7,,,,,,,,,,None,,,,,,0.75,0.25,0.5,0.5,./assets/CLiP_TBA.PNG,,Logarithmic_standard_deviation
40,electric power system,substation,Disconnect Switch - Rigid Bus; substation High Voltage Components (165 kV - 350 kV),USA,"Steelman, J., Song, J., and Hajjar, J. F. (2007). Integrated Data Flow and Risk Aggregation for Consequence-Based Risk Management of Seismic Regional Loss. Mid-America Earthquake Center, University of Illinois at Urbana-Champaign.",earthquake,PGA,g,Heuristic,Lognormal,1,Loss of Function,0.5,0.7,,,,,,,,,,None,,,,,,0.75,0.25,0.5,0.5,./assets/Disconnect_switch.PNG,,Logarithmic_standard_deviation
41,electric power system,substation,CCVT - Suspended; substation Very High Voltage Components (500 kV and Higher),USA,"Steelman, J., Song, J., and Hajjar, J. F. (2007). Integrated Data Flow and Risk Aggregation for Consequence-Based Risk Management of Seismic Regional Loss. Mid-America Earthquake Center, University of Illinois at Urbana-Champaign.",earthquake,PGA,g,Heuristic,Lognormal,1,Loss of Function,0.3,0.7,,,,,,,,,,None,,,,,,0.75,0.25,0.5,0.5,./assets/CLiP_TBA.PNG,,Logarithmic_standard_deviation
42,electric power system,substation,Live Tank Circuit Breaker - Standard; substation High Voltage Components (165 kV - 350 kV),USA,"Steelman, J., Song, J., and Hajjar, J. F. (2007). Integrated Data Flow and Risk Aggregation for Consequence-Based Risk Management of Seismic Regional Loss. Mid-America Earthquake Center, University of Illinois at Urbana-Champaign.",earthquake,PGA,g,Heuristic,Lognormal,1,Loss of Function,0.5,0.7,,,,,,,,,,None,,,,,,0.75,0.25,0.5,0.5,./assets/transformer.PNG,,Logarithmic_standard_deviation
43,electric power system,substation,Current transformer (gasketed); substation High Voltage Components (165 kV - 350 kV),USA,"Steelman, J., Song, J., and Hajjar, J. F. (2007). Integrated Data Flow and Risk Aggregation for Consequence-Based Risk Management of Seismic Regional Loss. Mid-America Earthquake Center, University of Illinois at Urbana-Champaign.",earthquake,PGA,g,Heuristic,Lognormal,1,Loss of Function,0.5,0.7,,,,,,,,,,None,,,,,,0.75,0.25,0.5,0.5,./assets/transformer.PNG,,Logarithmic_standard_deviation
44,electric power system,substation,Current transformer (gasketed); substation Very High Voltage Components (500 kV and Higher),USA,"Steelman, J., Song, J., and Hajjar, J. F. (2007). Integrated Data Flow and Risk Aggregation for Consequence-Based Risk Management of Seismic Regional Loss. Mid-America Earthquake Center, University of Illinois at Urbana-Champaign.",earthquake,PGA,g,Heuristic,Lognormal,1,Loss of Function,0.3,0.7,,,,,,,,,,None,,,,,,0.75,0.25,0.5,0.5,./assets/Circuit_breaker.PNG,,Logarithmic_standard_deviation
45,electric power system,substation,Live Tank Circuit Breaker - Seismic; substation High Voltage Components (165 kV - 350 kV),USA,"Steelman, J., Song, J., and Hajjar, J. F. (2007). Integrated Data Flow and Risk Aggregation for Consequence-Based Risk Management of Seismic Regional Loss. Mid-America Earthquake Center, University of Illinois at Urbana-Champaign.",earthquake,PGA,g,Heuristic,Lognormal,1,Loss of Function,0.7,0.7,,,,,,,,,,None,,,,,,0.75,0.25,0.5,0.5,./assets/CLiP_TBA.PNG,,Logarithmic_standard_deviation
46,electric power system,substation,Wave Trap - Cantilevered; substation High Voltage Components (165 kV - 350 kV),USA,"Steelman, J., Song, J., and Hajjar, J. F. (2007). Integrated Data Flow and Risk Aggregation for Consequence-Based Risk Management of Seismic Regional Loss. Mid-America Earthquake Center, University of Illinois at Urbana-Champaign.",earthquake,PGA,g,Heuristic,Lognormal,1,Loss of Function,0.6,0.7,,,,,,,,,,None,,,,,,0.75,0.25,0.5,0.5,./assets/CLiP_TBA.PNG,,Logarithmic_standard_deviation
47,electric power system,substation,Bus Structure - Flexible; substation Moderately High Voltage Components (100 kV - 165 kV),USA,"Steelman, J., Song, J., and Hajjar, J. F. (2007). Integrated Data Flow and Risk Aggregation for Consequence-Based Risk Management of Seismic Regional Loss. Mid-America Earthquake Center, University of Illinois at Urbana-Champaign.",earthquake,PGA,g,Heuristic,Lognormal,1,Loss of Function,2,0.7,,,,,,,,,,None,,,,,,0.75,0.25,0.5,0.5,./assets/CLiP_TBA.PNG,,Logarithmic_standard_deviation
48,electric power system,substation,Dead Tank Circuit Breaker - Standard; substation Very High Voltage Components (500 kV and Higher),USA,"Steelman, J., Song, J., and Hajjar, J. F. (2007). Integrated Data Flow and Risk Aggregation for Consequence-Based Risk Management of Seismic Regional Loss. Mid-America Earthquake Center, University of Illinois at Urbana-Champaign.",earthquake,PGA,g,Heuristic,Lognormal,1,Loss of Function,0.7,0.7,,,,,,,,,,None,,,,,,0.75,0.25,0.5,0.5,./assets/CLiP_TBA.PNG,,Logarithmic_standard_deviation
49,electric power system,substation,Wave Trap - Suspended; substation High Voltage Components (165 kV - 350 kV),USA,"Steelman, J., Song, J., and Hajjar, J. F. (2007). Integrated Data Flow and Risk Aggregation for Consequence-Based Risk Management of Seismic Regional Loss. Mid-America Earthquake Center, University of Illinois at Urbana-Champaign.",earthquake,PGA,g,Heuristic,Lognormal,1,Loss of Function,1.4,0.6,,,,,,,,,,None,,,,,,0.75,0.25,0.5,0.5,./assets/CLiP_TBA.PNG,,Logarithmic_standard_deviation
50,electric power system,substation,Bus Structure - Rigid; substation High Voltage Components (165 kV - 350 kV),USA,"Steelman, J., Song, J., and Hajjar, J. F. (2007). Integrated Data Flow and Risk Aggregation for Consequence-Based Risk Management of Seismic Regional Loss. Mid-America Earthquake Center, University of Illinois at Urbana-Champaign.",earthquake,PGA,g,Heuristic,Lognormal,1,Loss of Function,0.6,0.7,,,,,,,,,,None,,,,,,0.75,0.25,0.5,0.5,./assets/CLiP_TBA.PNG,,Logarithmic_standard_deviation
51,electric power system,substation,Disconnect Switch - Rigid Bus; substation Very High Voltage Components (500 kV and Higher),USA,"Steelman, J., Song, J., and Hajjar, J. F. (2007). Integrated Data Flow and Risk Aggregation for Consequence-Based Risk Management of Seismic Regional Loss. Mid-America Earthquake Center, University of Illinois at Urbana-Champaign.",earthquake,PGA,g,Heuristic,Lognormal,1,Loss of Function,0.4,0.7,,,,,,,,,,None,,,,,,0.75,0.25,0.5,0.5,./assets/CLiP_TBA.PNG,,Logarithmic_standard_deviation
52,electric power system,substation,Other Yard Equipment; substation Very High Voltage Components (500 kV and Higher),USA,"Steelman, J., Song, J., and Hajjar, J. F. (2007). Integrated Data Flow and Risk Aggregation for Consequence-Based Risk Management of Seismic Regional Loss. Mid-America Earthquake Center, University of Illinois at Urbana-Champaign.",earthquake,PGA,g,Heuristic,Lognormal,1,Loss of Function,0.4,0.7,,,,,,,,,,None,,,,,,0.75,0.25,0.5,0.5,./assets/CLiP_TBA.PNG,,Logarithmic_standard_deviation
